id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RPL3	93	8.1424e-36	6.9578e-07	6.7e-05	1	73	-1.4419	0.46079	0.90611	1.0	4878	11	-1.4419
RPL8	67	9.6215e-25	6.9578e-07	6.7e-05	2	50	-1.407	0.49402	0.90661	1.0	5019	11	-1.407
RPS2	61	2.343e-21	6.9578e-07	6.7e-05	3	47	-1.5331	0.60265	0.94501	1.0	5472	10	-1.5331
RPS18	40	8.0862e-19	6.9578e-07	6.7e-05	4	34	-1.5147	0.80878	0.98147	1.0	6226	4	-1.5147
RPL13	50	2.3047e-18	6.9578e-07	6.7e-05	5	40	-1.2416	0.99949	1.0	1.0	7047	1	-1.2416
RPS4X	42	2.7852e-18	6.9578e-07	6.7e-05	6	37	-1.459	0.95555	0.99817	1.0	6689	2	-1.459
RPS9	51	6.7246e-17	6.9578e-07	6.7e-05	7	38	-1.3769	0.40084	0.83864	1.0	4585	8	-1.3769
RPL13A	52	1.3304e-16	6.9578e-07	6.7e-05	8	39	-1.127	0.20986	0.64189	1.0	3375	11	-1.127
RPL12	32	1.5526e-16	6.9578e-07	6.7e-05	9	27	-1.9809	0.96272	0.9978	1.0	6709	4	-1.9809
RPL7A	53	8.3253e-16	6.9578e-07	6.7e-05	10	39	-1.0632	0.1529	0.5481	1.0	2936	6	-1.0632
RPL5	44	1.0351e-15	6.9578e-07	6.7e-05	11	37	-1.1379	0.98697	0.99969	1.0	6843	4	-1.1379
RPL4	68	1.1709e-15	6.9578e-07	6.7e-05	12	48	-0.79477	0.86903	0.99461	1.0	6376	11	-0.79477
RPS3	54	1.9209e-15	6.9578e-07	6.7e-05	13	43	-0.8824	0.99025	0.99984	1.0	6872	6	-0.8824
RPL15	53	2.367e-15	6.9578e-07	6.7e-05	14	41	-1.1378	0.88983	0.99459	1.0	6443	6	-1.1378
RPS10	38	2.5595e-15	6.9578e-07	6.7e-05	15	29	-1.585	0.95434	0.99777	1.0	6686	5	-1.585
RPL21	25	3.2633e-15	6.9578e-07	6.7e-05	16	24	-1.5821	1.0	1.0	1.0	7112	0	-1.5821
RPL23A	31	4.711e-15	6.9578e-07	6.7e-05	17	26	-1.9859	0.99523	0.99977	1.0	6940	4	-1.9859
RPS5	44	1.8936e-14	6.9578e-07	6.7e-05	18	38	-1.1195	0.70775	0.9632	1.0	5823	3	-1.1195
RPL18A	46	1.2622e-13	6.9578e-07	6.7e-05	19	38	-1.3075	0.62316	0.94096	1.0	5536	7	-1.3075
RPL10	56	2.1714e-13	6.9578e-07	6.7e-05	20	35	-0.81245	0.63434	0.95138	1.0	5569	11	-0.81245
RPL7	34	2.8424e-13	6.9578e-07	6.7e-05	21	29	-1.1722	0.75693	0.96692	1.0	6000	3	-1.1722
RPS15	39	3.2711e-13	6.9578e-07	6.7e-05	22	30	-1.0573	0.68846	0.95511	1.0	5761	6	-1.0573
RPL11	34	4.3143e-13	6.9578e-07	6.7e-05	23	25	-1.2725	0.36099	0.77432	1.0	4402	5	-1.2725
RPS8	32	5.8609e-13	6.9578e-07	6.7e-05	24	27	-1.7484	0.9665	0.99803	1.0	6724	3	-1.7484
RPS3A	37	1.2737e-12	6.9578e-07	6.7e-05	25	28	-1.0702	0.79884	0.97804	1.0	6194	3	-1.0702
RPS15A	19	7.9935e-12	6.9578e-07	6.7e-05	26	13	-1.852	0.75318	0.94279	1.0	5989	4	-1.852
RPL18	52	1.0694e-11	6.9578e-07	6.7e-05	27	36	-0.73538	0.046904	0.26319	0.88033	1585	8	-0.73538
RPS6	37	1.3672e-11	6.9578e-07	6.7e-05	28	23	-0.9541	0.79882	0.97803	1.0	6193	9	-0.9541
RPL6	44	1.7758e-11	6.9578e-07	6.7e-05	29	33	-1.0899	0.22089	0.64436	1.0	3463	5	-1.0899
EIF4A3	10	4.8212e-11	6.9578e-07	6.7e-05	30	10	-1.3513	1.0	1.0	1.0	7115	0	-1.3513
